source,section,case,face,arm_label,arm_id,run_tag,republished,status,detail,unscored_cause
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-0676097b,req-drift,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 4/4,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-0676097b,req-drift,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 4/4,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-0676097b,req-drift,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 4/4,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-13854d9d,text,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-13854d9d,text,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-13854d9d,text,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-1fd3683a,text,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 2/2,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-1fd3683a,text,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 2/2,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-1fd3683a,text,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 2/2,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-24bcf707,ops,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-24bcf707,ops,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-24bcf707,ops,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 5/5,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-442d4aab,build,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-442d4aab,build,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-442d4aab,build,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-47eea242,review,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,fail,✗ 1,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-47eea242,review,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 4,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-47eea242,review,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 3,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-569dbe0d,build,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 10/10,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-569dbe0d,build,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 10/10,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-569dbe0d,build,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 10/10,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-61f7ad01,build,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-61f7ad01,build,v4.1-flash @ CommandCode,deepseek-v4.1-flash@commandcode,primary,0,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-61f7ad01,build,v4.1-flash @ OpenCode Go,deepseek-v4.1-flash@opencode-go,primary,1,pass,✓ 7/7,
amber-commandcode/results/2026-W37.md,Full matrix (same-name cross-vendor),A-641195e2,build,v4.1-flash-exp 预览 @ 官方,deepseek-v4.1-flash-exp@deepseek-official,primary,1,pass,✓ 8/8,
