lane,q,wall_s
v4.1-flash@high,题22,14.0
v4.1-flash@high,题5,136.2
v4.1-flash@high,题6,340.0
v4.1-flash@high,题24,11.0
v4.1-flash@high,题23,13.1
v4.1-flash@high,题1,82.4
v4.1-flash@high,题2,231.4
v4.1-flash@high,题3,151.9
v4.1-flash@high,题4,97.9
v4.1-flash@high,题7,620.9
v4.1-flash@high,题8,710.4
v4.1-flash@high,题10,55.3
v4.1-flash@high,题11,88.1
v4.1-flash@high,题26,43.5
v4.1-flash@high,题12,164.9
v4.1-flash@high,题9,627.5
v4.1-flash@high,题13,98.5
v4.1-flash@high,题14,104.7
v4.1-flash@high,题16,20.0
v4.1-flash@high,题17,34.3
v4.1-flash@high,题15,168.7
v4.1-flash@high,题21,38.6
v4.1-flash@high,题18,46.3
v4.1-flash@high,题19,62.3
v4.1-flash@high,题20,57.6
v4.1-flash@high,题25,143.2
swe-2-medium,题22,10.0
swe-2-medium,题24,14.1
swe-2-medium,题23,34.0
swe-2-medium,题1,71.3
swe-2-medium,题2,78.5
swe-2-medium,题4,88.7
swe-2-medium,题5,71.1
swe-2-medium,题3,308.1
swe-2-medium,题6,148.5
swe-2-medium,题8,987.2
swe-2-medium,题9,239.6
swe-2-medium,题10,57.4
swe-2-medium,题11,44.7
swe-2-medium,题26,32.6
swe-2-medium,题7,1456.9
swe-2-medium,题13,81.1
swe-2-medium,题12,350.0
swe-2-medium,题14,255.8
swe-2-medium,题15,114.4
swe-2-medium,题16,61.7
swe-2-medium,题17,72.2
swe-2-medium,题21,104.3
swe-2-medium,题18,83.5
swe-2-medium,题19,69.7
swe-2-medium,题20,90.9
swe-2-medium,题25,121.4
swe-2-high,题23,24.5
swe-2-high,题22,33.3
swe-2-high,题24,101.4
swe-2-high,题1,146.1
swe-2-high,题2,149.1
swe-2-high,题4,196.0
swe-2-high,题5,246.4
swe-2-high,题3,715.8
swe-2-high,题6,479.9
swe-2-high,题7,644.2
swe-2-high,题8,764.9
swe-2-high,题9,700.2
swe-2-high,题10,395.4
swe-2-high,题26,107.1
swe-2-high,题11,236.8
swe-2-high,题13,277.5
swe-2-high,题14,255.3
swe-2-high,题12,1742.4
swe-2-high,题16,87.9
swe-2-high,题17,348.9
swe-2-high,题21,174.4
swe-2-high,题18,79.4
swe-2-high,题19,94.9
swe-2-high,题20,136.9
swe-2-high,题25,443.2
swe-2-high,题15,979.4
swe-2-max,题23,38.1
swe-2-max,题22,48.9
swe-2-max,题24,80.8
swe-2-max,题2,154.9
swe-2-max,题1,247.7
swe-2-max,题3,391.9
swe-2-max,题5,497.9
swe-2-max,题4,933.3
swe-2-max,题6,265.3
swe-2-max,题7,1800.1
swe-2-max,题8,1800.1
swe-2-max,题10,469.2
swe-2-max,题9,785.2
swe-2-max,题26,166.0
swe-2-max,题11,491.1
swe-2-max,题12,862.6
swe-2-max,题13,1088.4
swe-2-max,题14,818.5
swe-2-max,题16,163.9
swe-2-max,题17,49.2
swe-2-max,题21,75.7
swe-2-max,题18,83.5
swe-2-max,题19,159.6
swe-2-max,题15,922.1
swe-2-max,题20,105.6
swe-2-max,题25,279.5
swe-2-max,题7,2091.0
swe-2-max,题17,147.1
swe-2-max,题8,3600.1
v4.1-flash@xhigh,题22,13.0
v4.1-flash@xhigh,题23,18.7
v4.1-flash@xhigh,题24,18.4
v4.1-flash@xhigh,题1,129.7
v4.1-flash@xhigh,题2,191.5
v4.1-flash@xhigh,题3,156.1
v4.1-flash@xhigh,题4,188.8
v4.1-flash@xhigh,题5,191.3
v4.1-flash@xhigh,题6,223.5
v4.1-flash@xhigh,题7,687.2
v4.1-flash@xhigh,题9,785.2
v4.1-flash@xhigh,题8,1406.8
v4.1-flash@xhigh,题10,135.8
v4.1-flash@xhigh,题11,66.1
v4.1-flash@xhigh,题26,22.6
v4.1-flash@xhigh,题12,89.2
v4.1-flash@xhigh,题13,88.7
v4.1-flash@xhigh,题14,67.6
v4.1-flash@xhigh,题16,30.0
v4.1-flash@xhigh,题15,112.4
v4.1-flash@xhigh,题17,35.9
v4.1-flash@xhigh,题18,39.8
v4.1-flash@xhigh,题21,41.7
v4.1-flash@xhigh,题20,47.3
v4.1-flash@xhigh,题19,49.0
v4.1-flash@xhigh,题25,44.5
v4.1-flash@xhigh,题22,13.0
